ID;Description;BeginDate;EndDate;BookingFee;TotalPrice;Currency_code;Status_code;Agency_ID;Customer_ID;createdAt;createdBy;modifiedAt;modifiedBy
20;Business Trip for Kristina;2023-08-04;2023-08-04;10;586;USD;X;070008;0000000311;2023-07-07T18:22:12.000Z;Domenech;2023-07-10T14:26:07.000Z;Deichgraeber
21;Business Trip;2023-08-04;2024-06-02;40;2255;USD;A;070037;0000000455;2023-07-05T07:47:02.000Z;Jeremias;2023-07-19T23:45:03.000Z;Marshall
22;Vacation;2023-08-04;2024-06-02;40;2365;USD;O;070049;0000000449;2023-07-03T04:29:27.000Z;Kirk;2023-07-23T19:11:24.000Z;Koller
23;Vacation;2023-08-04;2024-06-02;120;6610;USD;O;070050;0000000174;2023-07-01T15:38:47.000Z;Leisert;2023-07-21T21:26:29.000Z;Sommer
24;Vacation;2023-08-04;2024-06-02;40;2213;USD;O;070048;0000000184;2023-07-19T08:45:48.000Z;Moyano;2023-08-08T15:42:55.000Z;D´Oultrement
25;Business Trip for Cindy, Ulla;2023-08-04;2023-08-04;20;1245;USD;X;070006;0000000038;2023-07-11T16:40:00.000Z;Lautenbach;2023-07-13T17:16:42.000Z;Sudhoff
26;Vacation to USA;2023-08-04;2024-05-31;60;3544;USD;O;070025;0000000135;2023-07-21T10:09:38.000Z;Sudhoff;2023-07-31T16:39:42.000Z;Cesari
27;Business Trip;2023-08-04;2024-06-02;80;4524;USD;O;070040;0000000083;2023-07-19T09:29:46.000Z;D´Oultrement;2023-08-04T08:07:27.000Z;Delon
28;Vacation;2023-08-04;2024-06-02;40;2419;USD;O;070041;0000000438;2023-07-20T03:20:52.000Z;Domenech;2023-08-05T14:57:34.000Z;Hansmann
29;Vacation for Cindy;2023-08-04;2023-08-06;20;1285;USD;O;070015;0000000214;2023-07-13T06:13:01.000Z;Hansmann;2023-07-19T03:35:48.000Z;Buehler
30;Business Trip for Andrej, Anna;2023-08-04;2023-08-04;20;1348;USD;X;070008;0000000067;2023-07-12T18:15:49.000Z;Schneider;2023-07-14T15:45:49.000Z;Deichgraeber
31;Vacation;2023-08-04;2023-08-04;20;1406;USD;O;070001;0000000372;2023-07-12T06:41:24.000Z;Jeremias;2023-07-11T23:30:56.000Z;Heller
32;Vacation to USA;2023-08-04;2024-05-31;90;5624;USD;O;070022;0000000461;2023-07-11T19:57:34.000Z;Mechler;2023-07-19T05:53:25.000Z;Sisko
33;Business Trip for Ulla, Fabio;2023-08-04;2023-08-04;20;1465;USD;O;070006;0000000053;2023-07-07T02:08:45.000Z;Gutenberg;2023-07-09T00:32:09.000Z;Benz
34;Vacation;2023-08-04;2024-06-02;80;5025;USD;O;070046;0000000002;2023-07-02T22:15:48.000Z;Neubasler;2023-07-21T01:08:13.000Z;Fischer
35;Visiting Simon;2023-08-04;2024-06-02;80;5173;USD;X;070032;0000000213;2023-07-07T18:15:19.000Z;Pan;2023-07-20T18:50:59.000Z;Pan
36;Business Trip;2023-08-04;2024-06-02;40;2654;USD;O;070040;0000000416;2023-07-07T02:14:00.000Z;Sommer;2023-07-23T15:48:17.000Z;Detemple
37;Vacation;2023-08-04;2024-06-02;120;8008;USD;O;070044;0000000401;2023-07-12T17:20:54.000Z;Heller;2023-07-30T06:55:13.000Z;Lautenbach
38;Vacation;2024-05-31;2024-06-02;60;3601;USD;O;070048;0000000506;2023-10-03T10:15:57.000Z;Müller;2023-10-23T21:11:50.000Z;Matthaeus
39;Sightseeing in Miami, Florida;2024-05-31;2024-06-02;20;1324;USD;A;070026;0000000337;2023-10-03T14:28:59.000Z;Jeremias;2023-10-12T23:36:46.000Z;Domenech
40;Visiting Anna;2024-05-31;2024-06-02;60;3800;USD;X;070033;0000000136;2023-10-03T02:49:47.000Z;Kreiss;2023-10-16T09:21:04.000Z;Detemple
41;Business Trip;2024-05-31;2024-06-02;60;3854;USD;O;070040;0000000270;2023-10-03T04:32:43.000Z;Jacqmain;2023-10-19T08:35:35.000Z;Koller
42;Vacation;2024-05-31;2024-05-31;20;1323;USD;O;070002;0000000164;2023-10-03T00:17:40.000Z;Lautenbach;2023-10-03T17:55:41.000Z;Gutenberg
43;Business Trip to USA;2024-05-31;2024-06-02;40;2826;USD;O;070019;0000000393;2023-10-02T23:45:33.000Z;Prinz;2023-10-10T18:45:23.000Z;Jeremias
44;Vacation;2024-05-31;2024-06-02;20;1454;USD;O;070043;0000000497;2023-10-03T08:34:31.000Z;Koslowski;2023-10-20T03:22:12.000Z;Hunter
45;Vacation for Walter;2024-05-31;2024-06-02;20;1418;USD;X;070011;0000000474;2023-10-03T09:03:21.000Z;Matthaeus;2023-10-07T10:04:24.000Z;Trensch
46;Vacation;2024-05-31;2024-06-02;20;1398;USD;O;070047;0000000449;2023-10-03T10:46:21.000Z;Kreiss;2023-10-22T09:31:35.000Z;Matthaeus
47;Visiting Holm;2024-05-31;2024-06-02;60;4210;USD;A;070035;0000000001;2023-10-03T18:07:09.000Z;Montero;2023-10-17T14:56:57.000Z;Prinz
48;Visiting Dominik;2024-05-31;2024-06-02;40;2947;USD;A;070034;0000000079;2023-10-03T21:28:23.000Z;Schneider;2023-10-17T16:34:23.000Z;Rahn
49;Business Trip to USA;2024-05-31;2024-06-02;20;1532;USD;O;070020;0000000186;2023-10-03T18:20:23.000Z;Lautenbach;2023-10-11T17:00:43.000Z;Deichgraeber
50;Business Trip;2024-05-31;2024-06-02;20;1561;USD;X;070038;0000000176;2023-10-03T15:47:26.000Z;Mechler;2023-10-18T05:09:55.000Z;Schneider
51;Business Trip;2024-05-31;2024-06-02;40;3146;USD;A;070038;0000000208;2023-10-02T23:31:37.000Z;Moyano;2023-10-18T15:18:51.000Z;Buchholm
52;Business Trip;2024-05-31;2024-06-02;20;1584;USD;A;070038;0000000406;2023-10-03T16:36:28.000Z;Domenech;2023-10-18T14:09:07.000Z;Eichbaum
53;Vacation to USA;2024-05-31;2024-06-02;60;5061;USD;O;070024;0000000377;2023-10-03T14:39:31.000Z;Hansmann;2023-10-12T02:15:20.000Z;Montero
54;Business Trip to USA;2024-05-31;2024-06-02;40;3276;USD;O;070020;0000000334;2023-10-03T09:44:59.000Z;Detemple;2023-10-11T01:41:42.000Z;Trensch
55;Vacation to USA;2024-05-31;2024-06-02;40;3437;USD;X;070022;0000000134;2023-10-03T17:05:54.000Z;Babilon;2023-10-11T10:27:43.000Z;Ryan
56;Visiting Jean;2024-06-02;2024-06-02;30;2697;USD;A;070033;0000000430;2023-10-03T12:54:33.000Z;Mustermann;2023-10-16T22:13:30.000Z;Gahl
57;Business Trip for Siegfried;2024-05-31;2024-05-31;10;876;USD;O;070009;0000000021;2023-10-03T20:49:27.000Z;Henry;2023-10-06T07:09:30.000Z;Sisko
58;Business Trip for Peter, Astrid;2024-06-02;2024-06-02;20;1913;USD;O;070009;0000000392;2023-10-03T18:59:26.000Z;Benjamin;2023-10-06T13:32:32.000Z;Deichgraeber
59;Business Trip to USA;2024-06-02;2024-06-02;20;1861;USD;O;070016;0000000437;2023-10-02T23:26:36.000Z;Hoffen;2023-10-09T04:04:51.000Z;Vrsic
60;Business Trip;2024-06-02;2024-06-02;20;1915;USD;X;070036;0000000262;2023-10-03T18:57:58.000Z;Sudhoff;2023-10-17T17:06:29.000Z;Pan
61;Business Trip;2024-06-02;2024-06-02;20;1946;USD;O;070040;0000000236;2023-10-03T18:46:58.000Z;Goelke;2023-10-19T05:00:02.000Z;Pan
62;Vacation;2024-06-02;2024-06-02;20;1987;USD;O;070002;0000000377;2023-10-03T21:52:40.000Z;Babilon;2023-10-03T11:49:21.000Z;Leisert
63;Business Trip to USA;2024-06-02;2024-06-02;30;3032;USD;O;070016;0000000437;2023-10-03T08:23:51.000Z;Schneider;2023-10-09T15:05:20.000Z;Hunter
64;Vacation for Irmtraut;2024-05-31;2024-06-02;20;1985;USD;O;070014;0000000136;2023-10-03T09:48:39.000Z;Madeira;2023-10-08T20:15:02.000Z;Delon
65;Vacation;2024-06-02;2024-06-02;20;2171;USD;X;070044;0000000086;2023-10-03T12:54:07.000Z;Mustermann;2023-10-21T22:25:44.000Z;Benjamin
66;Vacation;2023-08-06;2023-08-06;10;729;USD;O;070003;0000000103;2023-07-03T02:15:05.000Z;Illner;2023-07-03T12:10:58.000Z;Benz
67;Business Trip for Ludwig, Ulla;2023-08-06;2023-08-06;20;1450;USD;O;070008;0000000157;2023-07-16T17:08:48.000Z;Barth;2023-07-19T02:08:16.000Z;Lautenbach
68;Vacation;2023-08-06;2023-08-06;30;2231;USD;O;070005;0000000201;2023-07-22T04:34:37.000Z;Benz;2023-07-24T02:52:04.000Z;Hoffen
69;Vacation;2023-08-06;2023-08-06;20;1543;USD;O;070050;0000000332;2023-07-06T18:08:40.000Z;Goelke;2023-07-26T05:32:00.000Z;Deichgraeber
70;Vacation;2023-08-06;2023-08-06;10;804;USD;X;070042;0000000186;2023-07-07T22:37:26.000Z;Kirk;2023-07-24T19:51:32.000Z;Fischer
71;Vacation;2023-08-06;2023-08-06;20;1638;USD;O;070042;0000000019;2023-07-11T06:30:08.000Z;Goelke;2023-07-28T05:21:11.000Z;Simonen
72;Visiting Allen;2023-08-06;2023-08-06;20;1678;USD;A;070035;0000000335;2023-07-11T06:04:45.000Z;Pan;2023-07-25T18:24:22.000Z;Buehler
73;Business Trip for August, Anna, Holm;2023-08-06;2023-08-06;30;2604;USD;O;070007;0000000272;2023-07-11T23:07:15.000Z;Dumbach;2023-07-14T04:14:02.000Z;Buchholm
74;Business Trip to USA;2023-08-06;2023-08-06;30;2667;USD;O;070016;0000000428;2023-07-08T04:14:49.000Z;Leisert;2023-07-14T21:11:30.000Z;Koller
75;Business Trip;2023-08-06;2023-08-06;10;921;USD;X;070039;0000000040;2023-07-04T20:02:49.000Z;Marshall;2023-07-20T07:25:58.000Z;Meier
76;Vacation;2023-08-06;2023-08-06;20;1868;USD;O;070048;0000000146;2023-07-09T19:56:02.000Z;Wohl;2023-07-28T03:54:18.000Z;Kirk
77;Vacation to USA;2023-08-06;2023-08-06;30;2855;USD;O;070025;0000000269;2023-07-17T21:29:32.000Z;Goelke;2023-07-27T05:29:14.000Z;Müller
78;Vacation;2023-08-06;2023-08-06;30;3117;USD;O;070002;0000000378;2023-07-09T17:54:20.000Z;Weiss;2023-07-09T13:20:53.000Z;Ryan
79;Visiting Matthias;2023-08-06;2023-08-06;20;2061;USD;A;070034;0000000160;2023-07-08T22:06:09.000Z;Cesari;2023-07-21T10:22:01.000Z;Fischer
80;Vacation to USA;2023-08-06;2023-08-06;10;1060;USD;X;070022;0000000284;2023-07-15T00:23:12.000Z;Marshall;2023-07-24T07:46:52.000Z;Fischmann
81;Business Trip for Allen, Roland, Ulla;2023-08-06;2023-08-06;30;3274;USD;O;070007;0000000488;2023-07-08T18:24:29.000Z;Lindwurm;2023-07-10T18:14:16.000Z;Prinz
82;Business Trip to USA;2023-08-06;2023-08-06;30;3341;USD;O;070020;0000000168;2023-07-12T13:07:29.000Z;Benjamin;2023-07-20T13:05:13.000Z;Miguel
83;Vacation for Achim, Irene, Christine;2023-08-06;2023-08-06;30;3413;USD;O;070011;0000000404;2023-07-16T16:57:39.000Z;Illner;2023-07-20T12:56:57.000Z;Gueldenpfenn
84;Business Trip;2023-08-06;2023-08-06;30;3793;USD;O;070039;0000000136;2023-07-19T15:03:26.000Z;Rahn;2023-08-04T21:34:45.000Z;Sommer
85;Vacation;2023-08-06;2023-08-06;20;2489;USD;X;070003;0000000021;2023-07-12T15:21:03.000Z;Mechler;2023-07-13T05:14:33.000Z;Moyano
86;Business Trip;2023-08-06;2023-08-06;30;3938;USD;O;070040;0000000449;2023-07-12T08:00:24.000Z;Lautenbach;2023-07-28T17:49:19.000Z;D´Oultrement
87;Vacation;2023-08-06;2023-08-06;20;2671;USD;O;070002;0000000450;2023-07-22T12:10:48.000Z;Lautenbach;2023-07-22T17:02:54.000Z;Pratt
88;Business Trip for Jasmin;2023-08-06;2023-08-06;10;1346;USD;O;070010;0000000538;2023-07-15T03:43:07.000Z;Jacqmain;2023-07-18T08:38:15.000Z;Koller
89;Vacation to USA;2023-08-06;2023-08-06;10;1381;USD;O;070021;0000000092;2023-07-22T11:27:22.000Z;Gahl;2023-07-30T12:38:29.000Z;Kramer
90;Vacation to USA;2023-08-06;2023-08-06;20;2806;USD;X;070025;0000000100;2023-07-16T08:17:17.000Z;Columbo;2023-07-26T00:32:43.000Z;D´Oultrement
91;Vacation to USA;2023-08-06;2023-08-06;20;2856;USD;O;070023;0000000291;2023-07-12T07:11:48.000Z;Gutenberg;2023-07-21T00:44:37.000Z;Marshall
92;Vacation to USA;2023-08-06;2023-08-06;10;1506;USD;O;070023;0000000126;2023-07-11T13:11:23.000Z;Kramer;2023-07-20T11:41:18.000Z;Benjamin
93;Vacation to USA;2023-08-06;2023-08-06;20;3031;USD;O;070025;0000000188;2023-07-07T07:37:48.000Z;Ryan;2023-07-17T17:22:20.000Z;Marshall
94;Visiting Harish;2023-08-06;2023-08-06;20;3019;USD;A;070033;0000000184;2023-07-16T22:04:22.000Z;Leisert;2023-07-29T21:46:40.000Z;Mustermann
95;Business Trip;2023-08-06;2023-08-06;20;3211;USD;X;070040;0000000121;2023-07-04T02:46:18.000Z;Detemple;2023-07-20T02:55:27.000Z;Benz
96;Business Trip;2023-07-31;2023-08-03;80;21693;EUR;A;070036;0000000339;2023-06-27T08:26:29.000Z;Gahl;2023-07-11T12:29:54.000Z;D´Oultrement
97;Vacation;2023-08-06;2023-08-06;10;1605;USD;O;070047;0000000235;2023-07-15T08:18:06.000Z;Cesari;2023-08-03T10:26:45.000Z;Jacqmain
98;Business Trip;2023-07-31;2023-08-03;40;10907;EUR;O;070038;0000000479;2023-07-08T16:30:52.000Z;Buchholm;2023-07-22T23:30:23.000Z;Gueldenpfenn
99;Vacation;2023-07-31;2024-05-29;50;14299;EUR;O;070041;0000000183;2023-07-10T08:47:55.000Z;Henry;2023-07-26T07:49:21.000Z;Jacqmain
100;Vacation for Lothar;2023-07-31;2023-08-01;20;4044;EUR;X;070014;0000000270;2023-07-08T21:22:08.000Z;Hansmann;2023-07-13T02:38:32.000Z;Rahn
101;Business Trip;2023-07-31;2023-08-03;120;32492;EUR;A;070036;0000000160;2023-06-29T09:31:56.000Z;Prinz;2023-07-13T18:48:11.000Z;Kreiss
102;Visiting Pierre;2023-07-31;2023-08-03;80;21749;EUR;A;070034;0000000155;2023-07-15T19:56:14.000Z;Heller;2023-07-29T06:21:59.000Z;Picard
103;Vacation;2023-07-31;2023-07-31;10;1597;EUR;O;070001;0000000072;2023-07-10T13:33:23.000Z;Kramer;2023-07-10T11:52:00.000Z;Weiss
104;Visiting Holm;2023-07-31;2023-08-03;40;10809;EUR;A;070033;0000000443;2023-07-04T01:35:28.000Z;Hansmann;2023-07-17T02:37:46.000Z;Detemple
105;Business Trip;2023-07-31;2023-08-03;80;21636;EUR;X;070036;0000000016;2023-07-02T10:18:01.000Z;Miguel;2023-07-16T13:12:32.000Z;Cesari
106;Business Trip for Thomas, Uli;2023-07-31;2023-07-31;20;3130;EUR;O;070009;0000000198;2023-07-16T07:13:11.000Z;Waldmann;2023-07-19T05:28:54.000Z;Henry
107;Visiting Juan;2023-07-31;2023-08-03;40;10950;EUR;A;070033;0000000053;2023-06-28T11:11:26.000Z;Domenech;2023-07-11T14:50:53.000Z;Kramer
108;Business Trip for Andreas;2023-07-31;2023-07-31;10;1567;EUR;O;070006;0000000411;2023-07-06T16:10:14.000Z;Sommer;2023-07-08T15:13:08.000Z;Eichbaum
109;Vacation to Germany;2023-07-31;2023-08-02;60;14804;EUR;O;070023;0000000328;2023-07-14T22:26:28.000Z;Sudhoff;2023-07-23T16:13:47.000Z;Fischer
110;Vacation to Germany;2023-07-31;2023-08-02;30;7401;EUR;X;070025;0000000291;2023-07-08T16:55:38.000Z;Trensch;2023-07-18T09:18:05.000Z;Eichbaum
111;Business Trip;2023-07-31;2023-08-03;80;21691;EUR;O;070039;0000000384;2023-06-27T20:11:35.000Z;Columbo;2023-07-13T01:25:37.000Z;Meier
112;Vacation;2023-07-31;2024-05-29;50;14315;EUR;O;070048;0000000536;2023-07-08T11:58:21.000Z;Hoffen;2023-07-28T04:54:43.000Z;Babilon
113;Sightseeing in Frankfurt/Main;2023-07-31;2023-08-02;90;22360;EUR;A;070029;0000000174;2023-06-27T12:06:42.000Z;Rahn;2023-07-09T20:26:40.000Z;Pratt
114;Business Trip to Germany;2023-07-31;2023-08-01;40;8047;EUR;O;070018;0000000447;2023-07-01T11:24:08.000Z;Benz;2023-07-08T02:15:09.000Z;Babilon
115;Vacation;2023-07-31;2024-05-29;50;14280;EUR;X;070044;0000000493;2023-06-30T10:15:02.000Z;Pan;2023-07-18T18:35:26.000Z;Trensch
116;Sightseeing in Frankfurt/Main;2023-07-31;2023-08-02;30;7407;EUR;A;070030;0000000352;2023-07-10T12:42:10.000Z;Illner;2023-07-22T11:36:47.000Z;Illner
117;Vacation;2023-07-31;2024-05-29;100;28480;EUR;O;070041;0000000539;2023-07-12T09:07:19.000Z;Fischer;2023-07-28T22:13:49.000Z;Kreiss
118;Vacation for Lothar;2023-07-31;2023-08-01;20;4038;EUR;O;070012;0000000292;2023-07-02T19:19:25.000Z;Columbo;2023-07-06T00:17:39.000Z;Kirk
119;Vacation;2023-07-31;2023-07-31;20;3305;EUR;O;070001;0000000096;2023-07-15T13:30:06.000Z;Kreiss;2023-07-15T09:25:46.000Z;Miguel
120;Business Trip;2023-07-31;2023-08-03;40;10872;EUR;X;070038;0000000307;2023-07-14T10:15:10.000Z;Martin;2023-07-29T01:05:59.000Z;Babilon
121;Vacation;2023-07-31;2024-05-29;100;28640;EUR;O;070042;0000000066;2023-07-14T22:01:15.000Z;Mustermann;2023-07-31T22:48:45.000Z;Becker
122;Vacation for Holm;2023-07-31;2023-08-01;20;4086;EUR;O;070013;0000000455;2023-07-15T23:43:06.000Z;Buchholm;2023-07-20T23:55:14.000Z;Jeremias
123;Vacation;2023-07-31;2024-05-29;100;28603;EUR;O;070042;0000000261;2023-07-04T22:34:16.000Z;Ryan;2023-07-21T17:29:20.000Z;Becker
124;Sightseeing in Frankfurt/Main;2023-07-31;2023-08-02;90;22460;EUR;A;070026;0000000188;2023-06-30T07:27:12.000Z;Pan;2023-07-10T18:14:58.000Z;Legrand
125;Vacation;2023-07-31;2024-05-29;100;28709;EUR;X;070048;0000000031;2023-07-08T15:32:13.000Z;Picard;2023-07-27T19:57:36.000Z;Moyano
126;Visiting Holm;2023-07-31;2023-08-03;120;33098;EUR;A;070035;0000000455;2023-07-09T07:13:24.000Z;Columbo;2023-07-23T01:31:11.000Z;Henry
127;Vacation to Germany;2023-07-31;2023-08-02;60;15301;EUR;O;070021;0000000130;2023-07-12T19:37:10.000Z;D´Oultrement;2023-07-20T08:29:24.000Z;Picard
128;Vacation;2023-07-31;2024-05-29;150;44181;EUR;O;070045;0000000400;2023-07-12T00:23:38.000Z;Goelke;2023-07-30T05:40:17.000Z;Gutenberg
129;Vacation to Germany;2023-07-31;2023-08-02;30;7822;EUR;O;070022;0000000188;2023-07-09T14:59:46.000Z;Deichgraeber;2023-07-17T18:22:09.000Z;Domenech
130;Vacation;2023-07-31;2024-05-29;100;29350;EUR;X;070048;0000000473;2023-06-30T16:53:57.000Z;Delon;2023-07-20T09:02:53.000Z;Sudhoff
131;Sightseeing in Frankfurt/Main;2023-07-31;2023-08-02;30;8016;EUR;A;070030;0000000456;2023-07-07T02:47:34.000Z;Meier;2023-07-19T20:54:01.000Z;Barth
132;Sightseeing in Frankfurt/Main;2023-07-31;2023-08-02;60;15794;EUR;A;070028;0000000227;2023-07-06T22:15:19.000Z;Koslowski;2023-07-17T03:05:46.000Z;Becker
133;Business Trip for Christine, Theresia, Chantal;2023-07-31;2023-07-31;30;5291;EUR;O;070008;0000000094;2023-06-29T01:40:17.000Z;Waldmann;2023-07-02T05:20:07.000Z;Neubasler
134;Business Trip for Astrid, Anna;2023-07-31;2023-07-31;20;3678;EUR;O;070007;0000000262;2023-07-10T05:43:13.000Z;Benz;2023-07-12T02:08:50.000Z;Mechler
135;Business Trip;2023-07-31;2023-08-03;120;34020;EUR;X;070039;0000000523;2023-07-10T18:39:00.000Z;Barth;2023-07-25T02:06:30.000Z;Deichgraeber
136;Business Trip for Jean-Luc, Cindy;2023-07-31;2023-07-31;20;3770;EUR;O;070008;0000000477;2023-07-01T00:46:17.000Z;Picard;2023-07-04T19:29:00.000Z;Columbo
137;Vacation for Allen, Theresia;2023-07-31;2023-08-01;40;9083;EUR;O;070012;0000000406;2023-06-29T14:54:23.000Z;Gahl;2023-07-03T12:42:05.000Z;Sessler
138;Vacation for Ruth;2023-07-31;2023-08-01;20;4488;EUR;O;070013;0000000307;2023-07-12T23:20:43.000Z;Illner;2023-07-18T12:53:21.000Z;Buchholm
139;Vacation;2023-07-31;2024-05-29;100;29826;EUR;O;070041;0000000406;2023-07-12T15:11:30.000Z;Benz;2023-07-29T02:41:03.000Z;Moyano
140;Vacation;2023-07-31;2024-05-29;100;29790;EUR;X;070043;0000000075;2023-07-15T11:44:41.000Z;Kirk;2023-08-01T19:01:25.000Z;Kramer
141;Vacation;2023-07-31;2024-05-29;50;15083;EUR;O;070050;0000000334;2023-07-04T09:28:24.000Z;Weiss;2023-07-24T13:30:15.000Z;Kreiss
142;Vacation for August, James;2023-07-31;2023-08-01;40;9361;EUR;O;070013;0000000072;2023-07-13T03:36:56.000Z;Marshall;2023-07-18T07:54:15.000Z;Wohl
143;Business Trip to Germany;2023-07-31;2023-08-01;40;9437;EUR;O;070017;0000000446;2023-07-10T02:51:36.000Z;Zimmermann;2023-07-16T11:37:28.000Z;Barth
144;Vacation;2023-07-31;2024-05-29;100;30407;EUR;O;070041;0000000292;2023-06-30T08:34:30.000Z;D´Oultrement;2023-07-17T08:48:29.000Z;Jacqmain
145;Vacation for Laura, Anna, Claire;2023-07-31;2023-08-01;60;14302;EUR;X;070015;0000000153;2023-06-28T17:14:19.000Z;Columbo;2023-07-04T00:10:14.000Z;Lautenbach
146;Vacation for Theresia, Ulla, Thomas;2023-07-31;2023-08-01;60;14574;EUR;O;070013;0000000487;2023-06-30T23:01:35.000Z;Dumbach;2023-07-06T04:53:30.000Z;Jeremias
147;Vacation;2023-07-31;2023-07-31;10;2144;EUR;O;070001;0000000355;2023-07-12T05:10:57.000Z;Detemple;2023-07-12T01:29:18.000Z;Goelke
148;Vacation;2023-07-31;2024-05-29;50;15462;EUR;O;070047;0000000392;2023-07-02T11:42:44.000Z;Koslowski;2023-07-21T03:58:13.000Z;Babilon
149;Vacation for Irmtraut;2023-07-31;2023-08-01;20;4830;EUR;O;070011;0000000040;2023-07-10T18:28:19.000Z;Dumbach;2023-07-14T04:30:19.000Z;Pan
150;Business Trip to Germany;2023-07-31;2023-08-01;40;9897;EUR;X;070018;0000000038;2023-07-02T22:40:32.000Z;Hunter;2023-07-09T09:03:57.000Z;Becker
151;Vacation;2023-07-31;2024-05-29;50;15450;EUR;O;070046;0000000041;2023-07-11T18:04:56.000Z;Gutenberg;2023-07-30T00:02:52.000Z;Pan
152;Business Trip for Christa, Horst;2023-07-31;2023-07-31;20;4388;EUR;O;070010;0000000264;2023-07-03T06:05:17.000Z;Meier;2023-07-07T20:31:40.000Z;Buehler
153;Vacation;2023-07-31;2024-05-29;50;15454;EUR;O;070043;0000000334;2023-07-11T00:49:13.000Z;Müller;2023-07-28T21:49:03.000Z;Gutenberg
154;Vacation for Adam, Max, Ludwig;2023-07-31;2023-08-01;60;15055;EUR;O;070013;0000000375;2023-07-04T04:08:11.000Z;Matthaeus;2023-07-09T10:43:42.000Z;Goelke
155;Vacation;2023-07-31;2024-05-29;150;47464;EUR;X;070048;0000000481;2023-07-01T12:31:56.000Z;Matthaeus;2023-07-21T10:39:25.000Z;Illner
156;Visiting Irmtraut;2023-07-31;2023-08-03;40;12586;EUR;A;070031;0000000003;2023-07-08T20:38:38.000Z;Henry;2023-07-20T07:58:08.000Z;Madeira
157;Business Trip;2023-07-31;2023-08-03;80;25347;EUR;O;070039;0000000440;2023-06-28T07:27:26.000Z;Meier;2023-07-14T20:48:28.000Z;Henry
